,Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
352,1991,11/23/1991,@,Michigan State,,L,24.0,27.0,
353,1991,12/31/1991,"El Paso, TX",UCLA,,L,3.0,6.0,Sun Bowl
354,1990,1/1/1991,"Tampa, FL",Clemson,,L,0.0,30.0,Hall of Fame Bowl
355,1990,9/8/1990,@,Arizona,,L,16.0,28.0,
356,1990,9/15/1990,vs.,Colorado,,W,23.0,22.0,
357,1990,9/22/1990,vs.,Southern Illinois,,W,56.0,21.0,
358,1990,10/6/1990,@,Ohio State,,W,31.0,20.0,
359,1990,10/13/1990,vs.,Purdue,,W,34.0,0.0,
360,1990,10/20/1990,vs.,Michigan State,,W,15.0,13.0,
361,1990,10/27/1990,@,Wisconsin,,W,21.0,3.0,
362,1990,11/3/1990,vs.,Iowa,,L,28.0,54.0,
363,1990,11/10/1990,@,Michigan,,L,17.0,22.0,Homecoming
364,1990,11/17/1990,@,Indiana,,W,24.0,10.0,
365,1990,11/24/1990,vs.,Northwestern,,W,28.0,23.0,
366,1989,1/1/1990,"Orlando, FL",Virginia,,W,31.0,21.0,Citrus Bowl
367,1989,9/4/1989,@,Southern California,,W,14.0,13.0,
368,1989,9/16/1989,@,Colorado,,L,7.0,38.0,
369,1989,9/23/1989,vs.,Utah State,,W,41.0,2.0,
370,1989,10/7/1989,vs.,Ohio State,,W,34.0,14.0,
371,1989,10/14/1989,@,Purdue,,W,14.0,2.0,
372,1989,10/21/1989,@,Michigan State,,W,14.0,10.0,
373,1989,10/28/1989,vs.,Wisconsin,,W,32.0,9.0,Homecoming
374,1989,11/4/1989,@,Iowa,,W,31.0,7.0,
375,1989,11/11/1989,vs.,Michigan,,L,10.0,24.0,
376,1989,11/18/1989,vs.,Indiana,,W,41.0,28.0,
377,1989,11/25/1989,@,Northwestern,,W,63.0,14.0,
378,1988,9/3/1988,vs.,Washington State,,L,7.0,44.0,
379,1988,9/10/1988,@,Arizona State,,L,16.0,21.0,
380,1988,9/17/1988,vs.,Utah,,W,35.0,24.0,
381,1988,10/1/1988,@,Ohio State,,W,31.0,12.0,
382,1988,10/8/1988,vs.,Purdue,,W,20.0,0.0,
383,1988,10/15/1988,@,Wisconsin,,W,34.0,6.0,
384,1988,10/22/1988,vs.,Michigan State,,L,21.0,28.0,Homecoming
385,1988,10/29/1988,@,Minnesota,,T,27.0,27.0,
386,1988,11/5/1988,vs.,Indiana,,W,21.0,20.0,
387,1988,11/12/1988,@,Michigan,,L,9.0,38.0,
388,1988,11/19/1988,vs.,Northwestern,,W,14.0,9.0,
389,1988,12/29/1988,"Birmingham, AL",Florida,,L,10.0,14.0,All-American Bowl
390,1987,9/5/1987,@,North Carolina,,L,14.0,34.0,
391,1987,9/12/1987,vs.,Arizona State,,L,7.0,21.0,
392,1987,9/19/1987,vs.,East Carolina,,W,20.0,10.0,
393,1987,10/3/1987,vs.,Ohio State,,L,6.0,10.0,
394,1987,10/10/1987,@,Purdue,,L,3.0,9.0,
395,1987,10/17/1987,vs.,Wisconsin,,W,16.0,14.0,
396,1987,10/24/1987,@,Michigan State,,T,14.0,14.0,
397,1987,10/31/1987,vs.,Minnesota,,W,27.0,17.0,Homecoming
